Partida Aduanera,Descripcion de la Partida Aduanera,Fecha,Qty,Und,U$ FAS Tot,U$ Flete & Seguro Tot,U$ CIF Tot,U$ FAS Und,U$ CIF Und,U$ (CIF + Imp) Und,Impuestos (%),Pais de Origen,Distrito de Descarga
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/06/2022,750.000,KG,44404.000,200.000,44604.000,59.205,59.472,59.472,0.000,HONDURAS,SAVANNAH GA.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/06/2022,3298.000,KG,34825.000,400.000,35225.000,10.559,10.680,10.680,0.000,HAITI,MIAMI FLA.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/07/2022,377.000,KG,11310.000,665.000,11975.000,30.000,31.763,31.763,0.000,DOMINICAN REPUBLIC,NEW YORK CITY N.Y.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/07/2022,173.000,KG,4563.000,581.000,5144.000,26.375,29.734,29.734,0.000,JAPAN,NEW YORK CITY N.Y.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/07/2022,3271.000,KG,34540.000,1706.000,36246.000,10.559,11.081,11.081,0.000,TURKEY,NEW YORK CITY N.Y.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/07/2022,678.000,KG,47150.000,1340.000,48490.000,69.542,71.519,71.519,0.000,HAITI,MIAMI FLA.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/08/2022,333.000,KG,9990.000,665.000,10655.000,30.000,31.996,31.996,0.000,DOMINICAN REPUBLIC,MIAMI FLA.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/08/2022,1220.000,KG,77189.000,200.000,77389.000,63.269,63.433,63.433,0.000,HONDURAS,SAVANNAH GA.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/08/2022,450.000,KG,38675.000,1000.000,39675.000,85.944,88.166,88.166,0.000,HAITI,MIAMI FLA.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/08/2022,1785.000,KG,30791.000,1097.000,31888.000,17.249,17.864,17.864,0.000,AUSTRALIA,SAN FRANCISCO CALIF.
1605610000,"SEA CUCUMBERS, PREPARED OR PRESERVED, NESOI",15/08/2022,130.000,KG,3680.000,2650.000,6330.000,28.307,48.692,55.769,14.530,CHINA,NEW YORK CITY N.Y.
